domain_id,domain,service_group,microservice_id,microservice_name,team_id,db_cluster,datastore,database_name,schema_name,table_name,full_table_name,table_class,cdc_enabled,kafka_topic,bronze_target,silver_target,gold_target,purpose,data_classification,postgres_cluster_role,postgres_version,ha_manager,connection_pooler,replication_mode,replica_count,sharding_strategy,cdc_connector,wal_level,logical_publication,replication_slot,outgoing_relationship_count,incoming_relationship_count,related_domains,relationship_enforcement,cross_db_key_standard,cross_db_join_policy
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-001,PostgreSQL,identity_svc_01,identity,account_identity,identity_svc_01.identity.account_identity,transactional,Y,fk.pg.cdc.identity.account_identity,bronze.identity_account_identity,silver.identity_account_identity,gold.identity_account_metrics,Simulated identity data for account operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-001,logical,pub_identity,slot_001_identity,0,5,customer|iam|privacy|security|seller,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-002,PostgreSQL,identity_svc_01,identity,profile_identity,identity_svc_01.identity.profile_identity,transactional,Y,fk.pg.cdc.identity.profile_identity,bronze.identity_profile_identity,silver.identity_profile_identity,gold.identity_profile_metrics,Simulated identity data for profile operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-002,logical,pub_identity,slot_002_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-003,PostgreSQL,identity_svc_01,identity,address_identity,identity_svc_01.identity.address_identity,transactional,Y,fk.pg.cdc.identity.address_identity,bronze.identity_address_identity,silver.identity_address_identity,gold.identity_address_metrics,Simulated identity data for address operations.,restricted,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-003,logical,pub_identity,slot_003_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-004,PostgreSQL,identity_svc_01,identity,preference_identity,identity_svc_01.identity.preference_identity,transactional,Y,fk.pg.cdc.identity.preference_identity,bronze.identity_preference_identity,silver.identity_preference_identity,gold.identity_preference_metrics,Simulated identity data for preference operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-004,logical,pub_identity,slot_004_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-005,PostgreSQL,identity_svc_01,identity,session_identity,identity_svc_01.identity.session_identity,reference,Y,fk.pg.cdc.identity.session_identity,bronze.identity_session_identity,silver.identity_session_identity,gold.identity_session_metrics,Simulated identity data for session operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-005,logical,pub_identity,slot_005_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-006,PostgreSQL,identity_svc_01,identity,event_identity,identity_svc_01.identity.event_identity,transactional,Y,fk.pg.cdc.identity.event_identity,bronze.identity_event_identity,silver.identity_event_identity,gold.identity_event_metrics,Simulated identity data for event operations.,restricted,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-006,logical,pub_identity,slot_006_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-007,PostgreSQL,identity_svc_01,identity,history_identity,identity_svc_01.identity.history_identity,event,Y,fk.pg.cdc.identity.history_identity,bronze.identity_history_identity,silver.identity_history_identity,gold.identity_history_metrics,Simulated identity data for history operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-007,logical,pub_identity,slot_007_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-008,PostgreSQL,identity_svc_01,identity,status_identity,identity_svc_01.identity.status_identity,transactional,Y,fk.pg.cdc.identity.status_identity,bronze.identity_status_identity,silver.identity_status_identity,gold.identity_status_metrics,Simulated identity data for status operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-008,logical,pub_identity,slot_008_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-009,PostgreSQL,identity_svc_01,identity,rule_identity,identity_svc_01.identity.rule_identity,transactional,Y,fk.pg.cdc.identity.rule_identity,bronze.identity_rule_identity,silver.identity_rule_identity,gold.identity_rule_metrics,Simulated identity data for rule operations.,restricted,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-009,logical,pub_identity,slot_009_identity,0,0,,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-010,PostgreSQL,identity_svc_01,identity,mapping_identity,identity_svc_01.identity.mapping_identity,history,Y,fk.pg.cdc.identity.mapping_identity,bronze.identity_mapping_identity,silver.identity_mapping_identity,gold.identity_mapping_metrics,Simulated identity data for mapping operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-010,logical,pub_identity,slot_010_identity,0,5,customer|iam|privacy|security|seller,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
1,identity,identity-platform,svc-0002,identity-02,team-001,pg-cluster-011,PostgreSQL,identity_svc_02,identity,item_identity,identity_svc_02.identity.item_identity,transactional,Y,fk.pg.cdc.identity.item_identity,bronze.identity_item_identity,silver.identity_item_identity,gold.identity_item_metrics,Simulated identity data for item operations.,internal,primary-replica,17,Patroni,PgBouncer,streaming_replication,2,domain_partitioned,debezium-pg-011,logical,pub_identity,slot_011_identity,0,5,customer|iam|privacy|security|seller,physical_fk_or_logical_reference,UUID/ULID globally unique business key,no runtime cross-db SQL join; use service API/event/read-model/lakehouse
