relationship_id,source_domain,source_service,source_cluster,source_database,source_schema,source_table,source_key,target_domain,target_service,target_cluster,target_database,target_schema,target_table,target_key,relationship_type,cardinality,cross_cluster,consistency_model,sync_method,source_of_truth,event_topic,on_missing_reference,join_strategy,description
rel-000001,customer,customer-01,pg-cluster-101,customer_svc_01,customer,account_customer,account_id,identity,identity-01,pg-cluster-001,identity_svc_01,identity,account_identity,account_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.account_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000002,customer,customer-01,pg-cluster-108,customer_svc_01,customer,status_customer,status_id,identity,identity-02,pg-cluster-012,identity_svc_02,identity,detail_identity,detail_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.detail_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000003,customer,customer-02,pg-cluster-115,customer_svc_02,customer,request_customer,request_id,identity,identity-03,pg-cluster-023,identity_svc_03,identity,policy_identity,policy_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.policy_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000004,customer,customer-03,pg-cluster-122,customer_svc_03,customer,configuration_customer,configuration_id,identity,identity-04,pg-cluster-034,identity_svc_04,identity,line_identity,line_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.line_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000005,customer,customer-03,pg-cluster-129,customer_svc_03,customer,offer_customer,offer_id,identity,identity-05,pg-cluster-045,identity_svc_05,identity,approval_identity,approval_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.approval_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000006,customer,customer-04,pg-cluster-136,customer_svc_04,customer,job_customer,job_id,identity,identity-06,pg-cluster-056,identity_svc_06,identity,variant_identity,variant_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.variant_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000007,customer,customer-05,pg-cluster-143,customer_svc_05,customer,decision_customer,decision_id,identity,identity-07,pg-cluster-067,identity_svc_07,identity,channel_identity,channel_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.channel_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000008,customer,customer-05,pg-cluster-150,customer_svc_05,customer,forecast_customer,forecast_id,identity,identity-08,pg-cluster-078,identity_svc_08,identity,settlement_identity,settlement_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.settlement_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000009,customer,customer-06,pg-cluster-157,customer_svc_06,customer,media_customer,media_id,identity,identity-09,pg-cluster-089,identity_svc_09,identity,return_identity,return_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.return_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000010,customer,customer-07,pg-cluster-164,customer_svc_07,customer,impression_customer,impression_id,identity,identity-10,pg-cluster-100,identity_svc_10,identity,owner_identity,owner_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.owner_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000011,customer,customer-08,pg-cluster-171,customer_svc_08,customer,provider_customer,provider_id,identity,identity-02,pg-cluster-011,identity_svc_02,identity,item_identity,item_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.item_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000012,customer,customer-08,pg-cluster-178,customer_svc_08,customer,settlement_customer,settlement_id,identity,identity-03,pg-cluster-022,identity_svc_03,identity,configuration_identity,configuration_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.configuration_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000013,customer,customer-09,pg-cluster-185,customer_svc_09,customer,stop_customer,stop_id,identity,identity-04,pg-cluster-033,identity_svc_04,identity,invoice_identity,invoice_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.invoice_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000014,customer,customer-10,pg-cluster-192,customer_svc_10,customer,rating_customer,rating_id,identity,identity-05,pg-cluster-044,identity_svc_05,identity,workflow_identity,workflow_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.workflow_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000015,customer,customer-10,pg-cluster-199,customer_svc_10,customer,location_customer,location_id,identity,identity-06,pg-cluster-055,identity_svc_06,identity,attribute_identity,attribute_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.attribute_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000016,customer,customer-01,pg-cluster-106,customer_svc_01,customer,event_customer,event_id,identity,identity-07,pg-cluster-066,identity_svc_07,identity,attribution_identity,attribution_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.attribution_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
