planning_lesson,implementation_lesson,domain_id,domain,microservice_id,microservice_name,service_archetype,team_id,java_version,spring_boot_version,build_tool,gradle_version,build_dsl,packaging,java_package,application_class,backend_module_path,api_base_path,api_access_policy,customer_auth_audience,admin_auth_audience,web_stack,api_contract,security_stack,persistence_stack,database_engine,database_name,schema_name,migration_tool,owned_table_count,full_cdc_table_count,excluded_cdc_table_count,outgoing_relationship_count,incoming_relationship_count,event_outgoing_count,event_incoming_count,colocated_validation_count,kafka_producer_required,kafka_consumer_required,outbox_required,dlq_consumer_required,resilience_stack,observability_stack,testing_stack,container_strategy,deployment_unit,deployment_namespace,implementation_status
129,201,1,identity,svc-0001,identity-01,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0001,Identity01Application,applications/backend/services/identity/identity-01,/api/v1/identity/01,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_01,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-01,retail-identity,PLANNED
129,202,1,identity,svc-0002,identity-02,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0002,Identity02Application,applications/backend/services/identity/identity-02,/api/v1/identity/02,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_02,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-02,retail-identity,PLANNED
129,203,1,identity,svc-0003,identity-03,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0003,Identity03Application,applications/backend/services/identity/identity-03,/api/v1/identity/03,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_03,identity,Flyway,10,6,4,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-03,retail-identity,PLANNED
129,204,1,identity,svc-0004,identity-04,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0004,Identity04Application,applications/backend/services/identity/identity-04,/api/v1/identity/04,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_04,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-04,retail-identity,PLANNED
129,205,1,identity,svc-0005,identity-05,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0005,Identity05Application,applications/backend/services/identity/identity-05,/api/v1/identity/05,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_05,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-05,retail-identity,PLANNED
129,206,1,identity,svc-0006,identity-06,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0006,Identity06Application,applications/backend/services/identity/identity-06,/api/v1/identity/06,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_06,identity,Flyway,10,6,4,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-06,retail-identity,PLANNED
129,207,1,identity,svc-0007,identity-07,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0007,Identity07Application,applications/backend/services/identity/identity-07,/api/v1/identity/07,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_07,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-07,retail-identity,PLANNED
129,208,1,identity,svc-0008,identity-08,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0008,Identity08Application,applications/backend/services/identity/identity-08,/api/v1/identity/08,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_08,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-08,retail-identity,PLANNED
129,209,1,identity,svc-0009,identity-09,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0009,Identity09Application,applications/backend/services/identity/identity-09,/api/v1/identity/09,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_09,identity,Flyway,10,6,4,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-09,retail-identity,PLANNED
129,210,1,identity,svc-0010,identity-10,SHARED_API_SERVICE,team-001,25,4.1.1,Gradle,9,Kotlin,Executable JAR,com.agilearning.retail.identity.service0010,Identity10Application,applications/backend/services/identity/identity-10,/api/v1/identity/10,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,Spring MVC,REST + OpenAPI 3.1,Spring Security OAuth2 Resource Server,Spring Data JDBC,PostgreSQL 18.6,identity_svc_10,identity,Flyway,10,7,3,0,10,0,10,0,N,Y,N,Y,Resilience4j + idempotency + retry,Actuator + Micrometer + OpenTelemetry,JUnit 5 + Testcontainers + ArchUnit + Spring Cloud Contract,OCI image + layered Spring Boot JAR,identity-10,retail-identity,PLANNED
