lesson_number,domain_id,domain,exposure_policy,customer_web_enabled,admin_web_enabled,customer_frontend_path,admin_frontend_path,customer_route,admin_route,api_gateway_base_path,api_access_policy,customer_auth_audience,admin_auth_audience,backend_domain_path,docker_profile,deployment_namespace,implementation_status
128,39,accounting,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/accounting,,/admin/accounting,/api/v1/accounting,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/accounting,domain-accounting,retail-accounting,PLANNED
128,28,advertising,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/advertising,,/admin/advertising,/api/v1/advertising,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/advertising,domain-advertising,retail-advertising,PLANNED
128,92,affiliate,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/affiliate,,/admin/affiliate,/api/v1/affiliate,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/affiliate,domain-affiliate,retail-affiliate,PLANNED
128,75,analytics,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/analytics,,/admin/analytics,/api/v1/analytics,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/analytics,domain-analytics,retail-analytics,PLANNED
128,48,audit,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/audit,,/admin/audit,/api/v1/audit,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/audit,domain-audit,retail-audit,PLANNED
128,37,b2b,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/b2b,,/admin/b2b,/api/v1/b2b,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/b2b,domain-b2b,retail-b2b,PLANNED
128,12,cart,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/cart,applications/frontend/admin-web/src/domains/cart,/cart,/admin/cart,/api/v1/cart,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/cart,domain-cart,retail-cart,PLANNED
128,3,catalog,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/catalog,applications/frontend/admin-web/src/domains/catalog,/catalog,/admin/catalog,/api/v1/catalog,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/catalog,domain-catalog,retail-catalog,PLANNED
128,67,cdc,INTERNAL_ONLY,N,N,,,,,/api/v1/cdc,INTERNAL_AUTHORIZED,,,applications/backend/services/cdc,domain-cdc,retail-cdc,PLANNED
128,13,checkout,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/checkout,applications/frontend/admin-web/src/domains/checkout,/checkout,/admin/checkout,/api/v1/checkout,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/checkout,domain-checkout,retail-checkout,PLANNED
128,41,commission,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/commission,,/admin/commission,/api/v1/commission,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/commission,domain-commission,retail-commission,PLANNED
128,44,compliance,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/compliance,,/admin/compliance,/api/v1/compliance,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/compliance,domain-compliance,retail-compliance,PLANNED
128,32,content,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/content,applications/frontend/admin-web/src/domains/content,/content,/admin/content,/api/v1/content,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/content,domain-content,retail-content,PLANNED
128,35,crm,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/crm,,/admin/crm,/api/v1/crm,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/crm,domain-crm,retail-crm,PLANNED
128,54,currency,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/currency,applications/frontend/admin-web/src/domains/currency,/currency,/admin/currency,/api/v1/currency,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/currency,domain-currency,retail-currency,PLANNED
128,2,customer,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/customer,applications/frontend/admin-web/src/domains/customer,/customer,/admin/customer,/api/v1/customer,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/customer,domain-customer,retail-customer,PLANNED
128,66,data_platform,INTERNAL_ONLY,N,N,,,,,/api/v1/data_platform,INTERNAL_AUTHORIZED,,,applications/backend/services/data_platform,domain-data_platform,retail-data_platform,PLANNED
128,71,data_quality,INTERNAL_ONLY,N,N,,,,,/api/v1/data_quality,INTERNAL_AUTHORIZED,,,applications/backend/services/data_quality,domain-data_quality,retail-data_quality,PLANNED
128,20,delivery,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/delivery,applications/frontend/admin-web/src/domains/delivery,/delivery,/admin/delivery,/api/v1/delivery,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/delivery,domain-delivery,retail-delivery,PLANNED
128,82,demand,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/demand,,/admin/demand,/api/v1/demand,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/demand,domain-demand,retail-demand,PLANNED
128,90,digital_goods,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/digital_goods,applications/frontend/admin-web/src/domains/digital_goods,/digital_goods,/admin/digital_goods,/api/v1/digital_goods,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/digital_goods,domain-digital_goods,retail-digital_goods,PLANNED
128,87,dropship,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/dropship,,/admin/dropship,/api/v1/dropship,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/dropship,domain-dropship,retail-dropship,PLANNED
128,95,email,INTERNAL_ONLY,N,N,,,,,/api/v1/email,INTERNAL_AUTHORIZED,,,applications/backend/services/email,domain-email,retail-email,PLANNED
128,30,engagement,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/engagement,applications/frontend/admin-web/src/domains/engagement,/engagement,/admin/engagement,/api/v1/engagement,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/engagement,domain-engagement,retail-engagement,PLANNED
128,70,etl,INTERNAL_ONLY,N,N,,,,,/api/v1/etl,INTERNAL_AUTHORIZED,,,applications/backend/services/etl,domain-etl,retail-etl,PLANNED
128,23,exchange,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/exchange,,/admin/exchange,/api/v1/exchange,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/exchange,domain-exchange,retail-exchange,PLANNED
128,76,experimentation,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/experimentation,,/admin/experimentation,/api/v1/experimentation,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/experimentation,domain-experimentation,retail-experimentation,PLANNED
128,77,feature_store,INTERNAL_ONLY,N,N,,,,,/api/v1/feature_store,INTERNAL_AUTHORIZED,,,applications/backend/services/feature_store,domain-feature_store,retail-feature_store,PLANNED
128,38,finance,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/finance,,/admin/finance,/api/v1/finance,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/finance,domain-finance,retail-finance,PLANNED
128,80,forecasting,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/forecasting,,/admin/forecasting,/api/v1/forecasting,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/forecasting,domain-forecasting,retail-forecasting,PLANNED
128,16,fraud,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/fraud,,/admin/fraud,/api/v1/fraud,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/fraud,domain-fraud,retail-fraud,PLANNED
128,19,fulfillment,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/fulfillment,,/admin/fulfillment,/api/v1/fulfillment,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/fulfillment,domain-fulfillment,retail-fulfillment,PLANNED
128,53,geo,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/geo,,/admin/geo,/api/v1/geo,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/geo,domain-geo,retail-geo,PLANNED
128,25,gift_card,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/gift_card,applications/frontend/admin-web/src/domains/gift_card,/gift_card,/admin/gift_card,/api/v1/gift_card,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/gift_card,domain-gift_card,retail-gift_card,PLANNED
128,74,governance,INTERNAL_ONLY,N,N,,,,,/api/v1/governance,INTERNAL_AUTHORIZED,,,applications/backend/services/governance,domain-governance,retail-governance,PLANNED
128,47,iam,INTERNAL_ONLY,N,N,,,,,/api/v1/iam,INTERNAL_AUTHORIZED,,,applications/backend/services/iam,domain-iam,retail-iam,PLANNED
128,1,identity,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/identity,applications/frontend/admin-web/src/domains/identity,/identity,/admin/identity,/api/v1/identity,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/identity,domain-identity,retail-identity,PLANNED
128,50,integration,INTERNAL_ONLY,N,N,,,,,/api/v1/integration,INTERNAL_AUTHORIZED,,,applications/backend/services/integration,domain-integration,retail-integration,PLANNED
128,55,international,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/international,applications/frontend/admin-web/src/domains/international,/international,/admin/international,/api/v1/international,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/international,domain-international,retail-international,PLANNED
128,9,inventory,CUSTOMER_AND_ADMIN,Y,Y,applications/frontend/customer-web/src/domains/inventory,applications/frontend/admin-web/src/domains/inventory,/inventory,/admin/inventory,/api/v1/inventory,PUBLIC_AUTHENTICATED,retail-customer-web,retail-admin-web,applications/backend/services/inventory,domain-inventory,retail-inventory,PLANNED
128,69,lakehouse,INTERNAL_ONLY,N,N,,,,,/api/v1/lakehouse,INTERNAL_AUTHORIZED,,,applications/backend/services/lakehouse,domain-lakehouse,retail-lakehouse,PLANNED
128,85,last_mile,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/last_mile,,/admin/last_mile,/api/v1/last_mile,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/last_mile,domain-last_mile,retail-last_mile,PLANNED
128,98,legal,ADMIN_ONLY,N,Y,,applications/frontend/admin-web/src/domains/legal,,/admin/legal,/api/v1/legal,INTERNAL_AUTHORIZED,,retail-admin-web,applications/backend/services/legal,domain-legal,retail-legal,PLANNED
