lesson_number,domain_id,domain,service_group,microservice_id,microservice_name,team_id,db_cluster_count,db_clusters,database_name,schema_name,owned_table_count,owned_tables,full_cdc_table_count,excluded_cdc_table_count,backend_module_path,api_base_path,docker_profile,deployment_unit,frontend_integration,implementation_status
201,1,identity,identity-platform,svc-0001,identity-01,team-001,10,pg-cluster-001|pg-cluster-002|pg-cluster-003|pg-cluster-004|pg-cluster-005|pg-cluster-006|pg-cluster-007|pg-cluster-008|pg-cluster-009|pg-cluster-010,identity_svc_01,identity,10,identity_svc_01.identity.account_identity|identity_svc_01.identity.address_identity|identity_svc_01.identity.event_identity|identity_svc_01.identity.history_identity|identity_svc_01.identity.mapping_identity|identity_svc_01.identity.preference_identity|identity_svc_01.identity.profile_identity|identity_svc_01.identity.rule_identity|identity_svc_01.identity.session_identity|identity_svc_01.identity.status_identity,7,3,applications/backend/services/identity/identity-01,/api/v1/identity/01,domain-identity,identity-01,DOMAIN_POLICY_PENDING,PLANNED
202,1,identity,identity-platform,svc-0002,identity-02,team-001,10,pg-cluster-011|pg-cluster-012|pg-cluster-013|pg-cluster-014|pg-cluster-015|pg-cluster-016|pg-cluster-017|pg-cluster-018|pg-cluster-019|pg-cluster-020,identity_svc_02,identity,10,identity_svc_02.identity.allocation_identity|identity_svc_02.identity.attempt_identity|identity_svc_02.identity.detail_identity|identity_svc_02.identity.item_identity|identity_svc_02.identity.movement_identity|identity_svc_02.identity.request_identity|identity_svc_02.identity.reservation_identity|identity_svc_02.identity.response_identity|identity_svc_02.identity.snapshot_identity|identity_svc_02.identity.transaction_identity,7,3,applications/backend/services/identity/identity-02,/api/v1/identity/02,domain-identity,identity-02,DOMAIN_POLICY_PENDING,PLANNED
203,1,identity,identity-platform,svc-0003,identity-03,team-001,10,pg-cluster-021|pg-cluster-022|pg-cluster-023|pg-cluster-024|pg-cluster-025|pg-cluster-026|pg-cluster-027|pg-cluster-028|pg-cluster-029|pg-cluster-030,identity_svc_03,identity,10,identity_svc_03.identity.adjustment_identity|identity_svc_03.identity.campaign_identity|identity_svc_03.identity.configuration_identity|identity_svc_03.identity.document_identity|identity_svc_03.identity.metric_identity|identity_svc_03.identity.offer_identity|identity_svc_03.identity.policy_identity|identity_svc_03.identity.redemption_identity|identity_svc_03.identity.score_identity|identity_svc_03.identity.segment_identity,6,4,applications/backend/services/identity/identity-03,/api/v1/identity/03,domain-identity,identity-03,DOMAIN_POLICY_PENDING,PLANNED
204,1,identity,identity-platform,svc-0004,identity-04,team-001,10,pg-cluster-031|pg-cluster-032|pg-cluster-033|pg-cluster-034|pg-cluster-035|pg-cluster-036|pg-cluster-037|pg-cluster-038|pg-cluster-039|pg-cluster-040,identity_svc_04,identity,10,identity_svc_04.identity.balance_identity|identity_svc_04.identity.batch_identity|identity_svc_04.identity.checkpoint_identity|identity_svc_04.identity.exception_identity|identity_svc_04.identity.invoice_identity|identity_svc_04.identity.job_identity|identity_svc_04.identity.ledger_identity|identity_svc_04.identity.line_identity|identity_svc_04.identity.run_identity|identity_svc_04.identity.task_identity,7,3,applications/backend/services/identity/identity-04,/api/v1/identity/04,domain-identity,identity-04,DOMAIN_POLICY_PENDING,PLANNED
205,1,identity,identity-platform,svc-0005,identity-05,team-001,10,pg-cluster-041|pg-cluster-042|pg-cluster-043|pg-cluster-044|pg-cluster-045|pg-cluster-046|pg-cluster-047|pg-cluster-048|pg-cluster-049|pg-cluster-050,identity_svc_05,identity,10,identity_svc_05.identity.alert_identity|identity_svc_05.identity.approval_identity|identity_svc_05.identity.assignment_identity|identity_svc_05.identity.availability_identity|identity_svc_05.identity.capacity_identity|identity_svc_05.identity.case_identity|identity_svc_05.identity.decision_identity|identity_svc_05.identity.forecast_identity|identity_svc_05.identity.schedule_identity|identity_svc_05.identity.workflow_identity,7,3,applications/backend/services/identity/identity-05,/api/v1/identity/05,domain-identity,identity-05,DOMAIN_POLICY_PENDING,PLANNED
206,1,identity,identity-platform,svc-0006,identity-06,team-001,10,pg-cluster-051|pg-cluster-052|pg-cluster-053|pg-cluster-054|pg-cluster-055|pg-cluster-056|pg-cluster-057|pg-cluster-058|pg-cluster-059|pg-cluster-060,identity_svc_06,identity,10,identity_svc_06.identity.attribute_identity|identity_svc_06.identity.category_identity|identity_svc_06.identity.collection_identity|identity_svc_06.identity.media_identity|identity_svc_06.identity.plan_identity|identity_svc_06.identity.ranking_identity|identity_svc_06.identity.relationship_identity|identity_svc_06.identity.target_identity|identity_svc_06.identity.threshold_identity|identity_svc_06.identity.variant_identity,6,4,applications/backend/services/identity/identity-06,/api/v1/identity/06,domain-identity,identity-06,DOMAIN_POLICY_PENDING,PLANNED
207,1,identity,identity-platform,svc-0007,identity-07,team-001,10,pg-cluster-061|pg-cluster-062|pg-cluster-063|pg-cluster-064|pg-cluster-065|pg-cluster-066|pg-cluster-067|pg-cluster-068|pg-cluster-069|pg-cluster-070,identity_svc_07,identity,10,identity_svc_07.identity.attribution_identity|identity_svc_07.identity.channel_identity|identity_svc_07.identity.click_identity|identity_svc_07.identity.conversion_identity|identity_svc_07.identity.delivery_identity|identity_svc_07.identity.impression_identity|identity_svc_07.identity.message_identity|identity_svc_07.identity.query_identity|identity_svc_07.identity.result_identity|identity_svc_07.identity.template_identity,7,3,applications/backend/services/identity/identity-07,/api/v1/identity/07,domain-identity,identity-07,DOMAIN_POLICY_PENDING,PLANNED
208,1,identity,identity-platform,svc-0008,identity-08,team-001,10,pg-cluster-071|pg-cluster-072|pg-cluster-073|pg-cluster-074|pg-cluster-075|pg-cluster-076|pg-cluster-077|pg-cluster-078|pg-cluster-079|pg-cluster-080,identity_svc_08,identity,10,identity_svc_08.identity.contract_identity|identity_svc_08.identity.fee_identity|identity_svc_08.identity.partner_identity|identity_svc_08.identity.payout_identity|identity_svc_08.identity.price_identity|identity_svc_08.identity.provider_identity|identity_svc_08.identity.rate_identity|identity_svc_08.identity.reconciliation_identity|identity_svc_08.identity.settlement_identity|identity_svc_08.identity.tax_identity,7,3,applications/backend/services/identity/identity-08,/api/v1/identity/08,domain-identity,identity-08,DOMAIN_POLICY_PENDING,PLANNED
209,1,identity,identity-platform,svc-0009,identity-09,team-001,10,pg-cluster-081|pg-cluster-082|pg-cluster-083|pg-cluster-084|pg-cluster-085|pg-cluster-086|pg-cluster-087|pg-cluster-088|pg-cluster-089|pg-cluster-090,identity_svc_09,identity,10,identity_svc_09.identity.bin_identity|identity_svc_09.identity.package_identity|identity_svc_09.identity.refund_identity|identity_svc_09.identity.return_identity|identity_svc_09.identity.route_identity|identity_svc_09.identity.shipment_identity|identity_svc_09.identity.stock_identity|identity_svc_09.identity.stop_identity|identity_svc_09.identity.tracking_identity|identity_svc_09.identity.warehouse_identity,6,4,applications/backend/services/identity/identity-09,/api/v1/identity/09,domain-identity,identity-09,DOMAIN_POLICY_PENDING,PLANNED
210,1,identity,identity-platform,svc-0010,identity-10,team-001,10,pg-cluster-091|pg-cluster-092|pg-cluster-093|pg-cluster-094|pg-cluster-095|pg-cluster-096|pg-cluster-097|pg-cluster-098|pg-cluster-099|pg-cluster-100,identity_svc_10,identity,10,identity_svc_10.identity.consent_identity|identity_svc_10.identity.device_identity|identity_svc_10.identity.feedback_identity|identity_svc_10.identity.location_identity|identity_svc_10.identity.owner_identity|identity_svc_10.identity.permission_identity|identity_svc_10.identity.rating_identity|identity_svc_10.identity.review_identity|identity_svc_10.identity.role_identity|identity_svc_10.identity.token_identity,7,3,applications/backend/services/identity/identity-10,/api/v1/identity/10,domain-identity,identity-10,DOMAIN_POLICY_PENDING,PLANNED
